YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,SPECIES_CD,density
2017,STTSTJ,AGRFDEEP,0,6135,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6135,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6135,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6135,SPA VIRI,1.5
2017,STTSTJ,AGRFDEEP,0,6137,BAL VETU,2
2017,STTSTJ,AGRFDEEP,0,6137,CEP FULV,1.5
2017,STTSTJ,AGRFDEEP,0,6137,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6137,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6137,LUT ANAL,1.5
2017,STTSTJ,AGRFDEEP,0,6137,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6137,OCY CHRY,1.5
2017,STTSTJ,AGRFDEEP,0,6137,SPA VIRI,10.5
2017,STTSTJ,AGRFDEEP,0,6140,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6140,CEP FULV,0
2017,STTSTJ,AGRFDEEP,0,6140,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6140,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6140,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6140,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6140,OCY CHRY,52.5
2017,STTSTJ,AGRFDEEP,0,6140,SPA VIRI,10
2017,STTSTJ,AGRFDEEP,0,6150,BAL VETU,1
2017,STTSTJ,AGRFDEEP,0,6150,CEP FULV,3.5
2017,STTSTJ,AGRFDEEP,0,6150,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6150,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6150,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6150,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6150,OCY CHRY,1
2017,STTSTJ,AGRFDEEP,0,6150,SPA VIRI,6
2017,STTSTJ,AGRFDEEP,0,6156,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6156,CEP FULV,1
2017,STTSTJ,AGRFDEEP,0,6156,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6156,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6156,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6156,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6156,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6156,SPA VIRI,2
2017,STTSTJ,AGRFDEEP,0,6159,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6159,CEP FULV,2.5
2017,STTSTJ,AGRFDEEP,0,6159,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6159,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6159,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6159,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6159,OCY CHRY,1
2017,STTSTJ,AGRFDEEP,0,6159,SPA VIRI,1
2017,STTSTJ,AGRFDEEP,0,6160,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6160,CEP FULV,3.5
2017,STTSTJ,AGRFDEEP,0,6160,EPI GUTT,0.5
2017,STTSTJ,AGRFDEEP,0,6160,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6160,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6160,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6160,OCY CHRY,0.5
2017,STTSTJ,AGRFDEEP,0,6160,SPA VIRI,6
2017,STTSTJ,AGRFDEEP,0,6161,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6161,CEP FULV,0
2017,STTSTJ,AGRFDEEP,0,6161,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6161,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6161,LUT ANAL,2
2017,STTSTJ,AGRFDEEP,0,6161,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6161,OCY CHRY,1
2017,STTSTJ,AGRFDEEP,0,6161,SPA VIRI,1
2017,STTSTJ,AGRFDEEP,0,6171,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6171,CEP FULV,1
2017,STTSTJ,AGRFDEEP,0,6171,EPI GUTT,1
2017,STTSTJ,AGRFDEEP,0,6171,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6171,LUT ANAL,0.5
2017,STTSTJ,AGRFDEEP,0,6171,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6171,OCY CHRY,0
2017,STTSTJ,AGRFDEEP,0,6171,SPA VIRI,0
2017,STTSTJ,AGRFDEEP,0,6181,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6181,CEP FULV,0
2017,STTSTJ,AGRFDEEP,0,6181,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6181,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6181,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6181,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6181,OCY CHRY,1
2017,STTSTJ,AGRFDEEP,0,6181,SPA VIRI,1.5
2017,STTSTJ,AGRFDEEP,0,6182,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6182,CEP FULV,0
2017,STTSTJ,AGRFDEEP,0,6182,EPI GUTT,0
2017,STTSTJ,AGRFDEEP,0,6182,LAC MAXI,0
2017,STTSTJ,AGRFDEEP,0,6182,LUT ANAL,0
2017,STTSTJ,AGRFDEEP,0,6182,LUT GRIS,0
2017,STTSTJ,AGRFDEEP,0,6182,OCY CHRY,0.5
2017,STTSTJ,AGRFDEEP,0,6182,SPA VIRI,1.5
2017,STTSTJ,AGRFDEEP,0,6360,BAL VETU,0
2017,STTSTJ,AGRFDEEP,0,6360,CEP FULV,8
